name,cpi,l1_miss_rate,l2_miss_rate,ipc
stats/500.perlbench_r_1.stats.txt,4.520601,0.005559631415754692,0.4528003071711848,0.22120952501669577
stats/500.perlbench_r_2.stats.txt,4.618911,0.005672686999058151,0.45255435576468256,0.21650124888745423
stats/500.perlbench_r_4.stats.txt,4.65005,0.00570770747772993,0.4525831285744825,0.21505145105966603
stats/502.gcc_r_1.stats.txt,4.524503,0.005561075531907828,0.4518997549246667,0.2210187505677419
stats/502.gcc_r_2.stats.txt,4.656074,0.005715326780055406,0.45258566083629637,0.21477321881052577
stats/502.gcc_r_4.stats.txt,4.525153,0.005561257821735204,0.4516199849117633,0.22098700309138716
stats/505.mcf_r_1.stats.txt,4.519461,0.005556815115388505,0.45172709527041605,0.2212653234533941
stats/505.mcf_r_2.stats.txt,4.518709,0.005555304582338573,0.4514411980461971,0.221302146254605
stats/505.mcf_r_4.stats.txt,4.638452,0.005693221824842629,0.4525625766952116,0.21558916638568212
stats/520.omnetpp_r_1.stats.txt,4.614293,0.005664484031815403,0.45274203997054224,0.21671792406767407
stats/520.omnetpp_r_2.stats.txt,4.566576,0.005611146616414236,0.4521575698387439,0.21898244987053755
stats/520.omnetpp_r_4.stats.txt,4.622771,0.005676273851264964,0.45232746256548106,0.21632047099023508
stats/523.xalancbmk_r_1.stats.txt,4.613638,0.005663718834222041,0.4527368853073028,0.21674869159652319
stats/523.xalancbmk_r_2.stats.txt,4.549397,0.005591991002329306,0.4516175059087154,0.21980935055788714
stats/523.xalancbmk_r_4.stats.txt,4.619287,0.005672248343883166,0.4522987208348014,0.21648362615269412
stats/525.x264_r_1.stats.txt,4.519465,0.005556790443356609,0.45172947205589875,0.22126512762019396
stats/525.x264_r_2.stats.txt,4.5527,0.005594106612937961,0.4517851198577466,0.21964987809431766
stats/525.x264_r_4.stats.txt,4.535216,0.005572802416909244,0.45171727043994686,0.22049666432646206
stats/531.deepsjeng_r_1.stats.txt,4.519462,0.005556793009014545,0.4517289966968013,0.2212652744950616
stats/531.deepsjeng_r_2.stats.txt,4.518723,0.005555403928631008,0.4514340712425881,0.2213014606117702
stats/531.deepsjeng_r_4.stats.txt,4.60696,0.005657273441890071,0.4522447304957545,0.21706287877472347
stats/541.leela_r_1.stats.txt,4.627158,0.005681975284565543,0.45264580907050145,0.21611537794905644
stats/541.leela_r_2.stats.txt,4.544371,0.005583300861806573,0.4518075335228811,0.22005245610448618
stats/541.leela_r_4.stats.txt,4.518708,0.005555306563791032,0.4514409604824514,0.2213021952292558
stats/548.exchange2_r_1.stats.txt,4.568064,0.00561207705101328,0.45223468867355926,0.2189111185832773
stats/548.exchange2_r_2.stats.txt,4.61949,0.005672736936160945,0.45227910911580355,0.2164741129432037
stats/548.exchange2_r_4.stats.txt,4.518712,0.005555371966426436,0.4514359717015486,0.22130199933078276
stats/557.xz_r_1.stats.txt,4.603991,0.005654205745113109,0.4525151005154422,0.2172028572601467
stats/557.xz_r_2.stats.txt,4.518712,0.005555383968572462,0.4514350214700682,0.22130199933078276
stats/557.xz_r_4.stats.txt,4.578473,0.00562417455561921,0.45199602213229095,0.21841343172712824
